period_end,air_temp,dni,ghi
2023-01-09 14:30:00+00:00,14,1,92
2023-01-09 15:00:00+00:00,14,338,118
2023-01-09 15:30:00+00:00,13,66,46
2023-01-09 16:00:00+00:00,13,7,7
2023-01-09 16:30:00+00:00,13,0,0
2023-01-09 17:00:00+00:00,13,0,0
2023-01-09 17:30:00+00:00,13,0,0
2023-01-09 18:00:00+00:00,12,0,0
2023-01-09 18:30:00+00:00,12,0,0
2023-01-09 19:00:00+00:00,11,0,0
2023-01-09 19:30:00+00:00,11,0,0
2023-01-09 20:00:00+00:00,11,0,0
2023-01-09 20:30:00+00:00,11,0,0
2023-01-09 21:00:00+00:00,11,0,0
2023-01-09 21:30:00+00:00,10,0,0
2023-01-09 22:00:00+00:00,10,0,0
2023-01-09 22:30:00+00:00,10,0,0
2023-01-09 23:00:00+00:00,10,0,0
2023-01-09 23:30:00+00:00,10,0,0
2023-01-10 00:00:00+00:00,10,0,0
2023-01-10 00:30:00+00:00,10,0,0
2023-01-10 01:00:00+00:00,10,0,0
2023-01-10 01:30:00+00:00,9,0,0
2023-01-10 02:00:00+00:00,9,0,0
2023-01-10 02:30:00+00:00,9,0,0
2023-01-10 03:00:00+00:00,8,0,0
2023-01-10 03:30:00+00:00,8,0,0
2023-01-10 04:00:00+00:00,8,0,0
2023-01-10 04:30:00+00:00,8,0,0
2023-01-10 05:00:00+00:00,8,0,0
2023-01-10 05:30:00+00:00,7,0,0
2023-01-10 06:00:00+00:00,7,0,0
2023-01-10 06:30:00+00:00,7,0,0
2023-01-10 07:00:00+00:00,7,0,4
2023-01-10 07:30:00+00:00,7,291,53
2023-01-10 08:00:00+00:00,7,577,132
2023-01-10 08:30:00+00:00,8,682,204
2023-01-10 09:00:00+00:00,8,755,271
2023-01-10 09:30:00+00:00,9,809,330
2023-01-10 10:00:00+00:00,10,843,378
2023-01-10 10:30:00+00:00,11,864,413
2023-01-10 11:00:00+00:00,12,876,436
2023-01-10 11:30:00+00:00,12,882,444
2023-01-10 12:00:00+00:00,12,880,439
2023-01-10 12:30:00+00:00,13,871,419
2023-01-10 13:00:00+00:00,13,852,386
2023-01-10 13:30:00+00:00,13,824,340
2023-01-10 14:00:00+00:00,14,782,283
2023-01-10 14:30:00+00:00,14,721,217
2023-01-10 15:00:00+00:00,13,626,145
2023-01-10 15:30:00+00:00,13,449,72
2023-01-10 16:00:00+00:00,12,70,12
2023-01-10 16:30:00+00:00,12,0,0
2023-01-10 17:00:00+00:00,11,0,0
2023-01-10 17:30:00+00:00,10,0,0
2023-01-10 18:00:00+00:00,9,0,0
2023-01-10 18:30:00+00:00,9,0,0
2023-01-10 19:00:00+00:00,9,0,0
2023-01-10 19:30:00+00:00,8,0,0
2023-01-10 20:00:00+00:00,8,0,0
2023-01-10 20:30:00+00:00,8,0,0
2023-01-10 21:00:00+00:00,7,0,0
2023-01-10 21:30:00+00:00,7,0,0
2023-01-10 22:00:00+00:00,7,0,0
2023-01-10 22:30:00+00:00,6,0,0
2023-01-10 23:00:00+00:00,6,0,0
2023-01-10 23:30:00+00:00,6,0,0
2023-01-11 00:00:00+00:00,6,0,0
2023-01-11 00:30:00+00:00,6,0,0
2023-01-11 01:00:00+00:00,5,0,0
2023-01-11 01:30:00+00:00,5,0,0
2023-01-11 02:00:00+00:00,5,0,0
2023-01-11 02:30:00+00:00,5,0,0
2023-01-11 03:00:00+00:00,5,0,0
2023-01-11 03:30:00+00:00,5,0,0
2023-01-11 04:00:00+00:00,5,0,0
2023-01-11 04:30:00+00:00,5,0,0
2023-01-11 05:00:00+00:00,5,0,0
2023-01-11 05:30:00+00:00,4,0,0
2023-01-11 06:00:00+00:00,4,0,0
2023-01-11 06:30:00+00:00,4,0,0
2023-01-11 07:00:00+00:00,4,44,8
2023-01-11 07:30:00+00:00,4,240,57
2023-01-11 08:00:00+00:00,5,624,139
2023-01-11 08:30:00+00:00,5,724,212
2023-01-11 09:00:00+00:00,7,788,280
2023-01-11 09:30:00+00:00,8,830,338
2023-01-11 10:00:00+00:00,9,857,386
2023-01-11 10:30:00+00:00,10,820,411
2023-01-11 11:00:00+00:00,10,778,424
2023-01-11 11:30:00+00:00,11,797,434
2023-01-11 12:00:00+00:00,12,707,413
2023-01-11 12:30:00+00:00,12,338,322
2023-01-11 13:00:00+00:00,13,504,332
2023-01-11 13:30:00+00:00,13,798,339
2023-01-11 14:00:00+00:00,13,500,251
2023-01-11 14:30:00+00:00,13,316,166
2023-01-11 15:00:00+00:00,13,508,139
2023-01-11 15:30:00+00:00,12,118,56
2023-01-11 16:00:00+00:00,12,33,11
2023-01-11 16:30:00+00:00,11,0,0
2023-01-11 17:00:00+00:00,10,0,0
2023-01-11 17:30:00+00:00,10,0,0
2023-01-11 18:00:00+00:00,9,0,0
2023-01-11 18:30:00+00:00,9,0,0
2023-01-11 19:00:00+00:00,9,0,0
2023-01-11 19:30:00+00:00,9,0,0
2023-01-11 20:00:00+00:00,8,0,0
2023-01-11 20:30:00+00:00,7,0,0
2023-01-11 21:00:00+00:00,7,0,0
2023-01-11 21:30:00+00:00,6,0,0
2023-01-11 22:00:00+00:00,6,0,0
2023-01-11 22:30:00+00:00,6,0,0
2023-01-11 23:00:00+00:00,6,0,0
2023-01-11 23:30:00+00:00,6,0,0
2023-01-12 00:00:00+00:00,5,0,0
2023-01-12 00:30:00+00:00,5,0,0
2023-01-12 01:00:00+00:00,5,0,0
2023-01-12 01:30:00+00:00,5,0,0
2023-01-12 02:00:00+00:00,5,0,0
2023-01-12 02:30:00+00:00,5,0,0
2023-01-12 03:00:00+00:00,6,0,0
2023-01-12 03:30:00+00:00,6,0,0
2023-01-12 04:00:00+00:00,7,0,0
2023-01-12 04:30:00+00:00,7,0,0
2023-01-12 05:00:00+00:00,7,0,0
2023-01-12 05:30:00+00:00,7,0,0
2023-01-12 06:00:00+00:00,7,0,0
2023-01-12 06:30:00+00:00,7,0,0
2023-01-12 07:00:00+00:00,7,0,3
2023-01-12 07:30:00+00:00,7,94,44
2023-01-12 08:00:00+00:00,7,291,113
2023-01-12 08:30:00+00:00,8,650,202
2023-01-12 09:00:00+00:00,9,734,270
2023-01-12 09:30:00+00:00,10,789,329
2023-01-12 10:00:00+00:00,10,823,377
2023-01-12 10:30:00+00:00,11,843,412
2023-01-12 11:00:00+00:00,12,855,434
2023-01-12 11:30:00+00:00,13,860,443
2023-01-12 12:00:00+00:00,13,853,437
2023-01-12 12:30:00+00:00,13,836,416
2023-01-12 13:00:00+00:00,14,809,382
2023-01-12 13:30:00+00:00,14,771,336
2023-01-12 14:00:00+00:00,14,549,259
2023-01-12 14:30:00+00:00,14,520,201
2023-01-12 15:00:00+00:00,14,457,137
2023-01-12 15:30:00+00:00,13,165,59
2023-01-12 16:00:00+00:00,13,35,12
2023-01-12 16:30:00+00:00,12,0,0
2023-01-12 17:00:00+00:00,11,0,0
2023-01-12 17:30:00+00:00,10,0,0
2023-01-12 18:00:00+00:00,10,0,0
2023-01-12 18:30:00+00:00,10,0,0
2023-01-12 19:00:00+00:00,9,0,0
2023-01-12 19:30:00+00:00,9,0,0
2023-01-12 20:00:00+00:00,8,0,0
2023-01-12 20:30:00+00:00,8,0,0
2023-01-12 21:00:00+00:00,7,0,0
2023-01-12 21:30:00+00:00,7,0,0
2023-01-12 22:00:00+00:00,6,0,0
2023-01-12 22:30:00+00:00,6,0,0
2023-01-12 23:00:00+00:00,6,0,0
2023-01-12 23:30:00+00:00,5,0,0
2023-01-13 00:00:00+00:00,5,0,0
2023-01-13 00:30:00+00:00,5,0,0
2023-01-13 01:00:00+00:00,5,0,0
2023-01-13 01:30:00+00:00,5,0,0
2023-01-13 02:00:00+00:00,4,0,0
2023-01-13 02:30:00+00:00,4,0,0
2023-01-13 03:00:00+00:00,4,0,0
2023-01-13 03:30:00+00:00,4,0,0
2023-01-13 04:00:00+00:00,4,0,0
2023-01-13 04:30:00+00:00,4,0,0
2023-01-13 05:00:00+00:00,4,0,0
2023-01-13 05:30:00+00:00,4,0,0
2023-01-13 06:00:00+00:00,4,0,0
2023-01-13 06:30:00+00:00,4,0,0
2023-01-13 07:00:00+00:00,4,3,6
2023-01-13 07:30:00+00:00,5,130,50
2023-01-13 08:00:00+00:00,5,238,109
2023-01-13 08:30:00+00:00,6,397,179
2023-01-13 09:00:00+00:00,8,287,215
2023-01-13 09:30:00+00:00,9,50,182
2023-01-13 10:00:00+00:00,9,54,224
2023-01-13 10:30:00+00:00,10,309,303
2023-01-13 11:00:00+00:00,11,293,319
2023-01-13 11:30:00+00:00,12,2,250
2023-01-13 12:00:00+00:00,12,20,244
2023-01-13 12:30:00+00:00,12,0,216
2023-01-13 13:00:00+00:00,13,0,176
2023-01-13 13:30:00+00:00,13,0,134
2023-01-13 14:00:00+00:00,13,0,103
2023-01-13 14:30:00+00:00,13,0,93
